age_flooring,age_ceiling,height_flooring,height_ceiling,criterias_education,criterias_marriage,prediction
21,28,175,185,2,3,5
28,38,170,180,1,3,8
29,38,168,180,1,3,8
25,30,170,260,2,3,24
41,48,170,190,2,0,1
36,45,170,178,2,1,10
65,72,170,182,2,0,15
37,46,165,175,1,1,18
27,32,174,188,2,3,5
40,47,172,182,1,0,18
45,55,165,180,1,0,21
21,26,160,190,0,0,7
22,29,166,176,0,3,13
28,33,172,178,2,3,5
65,70,168,180,0,0,3
18,83,170,180,0,0,9
33,41,168,190,2,0,10
56,64,170,175,0,0,3
30,43,170,180,0,0,22
22,25,170,180,0,3,13
35,40,168,178,2,3,27
32,36,173,178,2,3,27
24,29,160,190,0,0,7
28,38,166,178,0,0,22
38,48,170,178,2,0,10
35,48,168,186,0,0,22
30,40,175,180,1,1,25
55,65,170,175,0,0,3
21,26,160,190,0,0,7
50,60,165,180,1,0,21
24,42,130,260,0,0,2
42,55,165,190,0,0,0
37,47,168,180,1,0,18
39,49,173,180,1,3,8
24,42,130,260,0,0,2
21,28,165,190,2,3,5
54,66,170,190,1,0,21
23,30,175,180,1,3,20
21,29,175,190,1,3,20
21,25,185,193,2,3,5
18,83,175,260,2,3,19
20,27,165,190,2,0,10
36,45,170,175,0,0,22
40,83,168,190,2,0,15
48,56,168,180,1,1,21
24,42,130,260,0,0,2
22,27,160,190,0,0,7
38,54,174,190,2,1,1
55,69,130,260,0,0,28
27,35,175,188,2,3,5
31,37,173,185,1,3,8
23,30,170,190,2,3,5
41,55,170,200,0,0,0
40,60,160,190,1,0,18
30,40,165,180,0,0,22
24,30,176,186,2,3,5
29,40,178,188,1,0,18
55,60,175,185,1,1,21
20,28,170,175,1,3,20
20,27,178,188,0,3,13
25,27,176,180,2,3,5
24,58,130,260,0,0,2
24,53,130,260,0,0,2
21,26,160,190,0,0,7
48,57,170,185,2,1,1
24,31,173,180,1,3,20
